Date,Portfolio Value,Reference Values
2013-07-05,1893912.5737867397,1305083.2593937644
2013-07-12,1963095.413687646,1347285.5580545985
2013-07-19,1975411.1970503894,1359310.1954068057
2013-07-26,1991714.2240039625,1355580.5459835345
2013-08-02,2013264.7443301973,1377834.6367331785
2013-08-09,1978254.842934465,1367403.998927017
2013-08-16,1937885.1406322797,1334724.4289457942
2013-08-23,1941264.795490616,1343705.507294225
2013-08-30,1905629.0964380484,1315054.7840620684
2013-09-06,1929010.2659355872,1337804.0979716491
2013-09-13,1958294.0714369132,1366944.8857891595
2013-09-20,2013636.3026107699,1384917.3596351864
2013-09-27,1991682.7836825,1371520.541443989
2013-10-04,2010256.675490077,1375312.0937622525
2013-10-11,2033192.6807939764,1383772.1560778334
2013-10-18,2112794.3880520966,1414950.580855499
2013-10-25,2149066.4133440526,1427186.7197655954
2013-11-01,2142760.68181246,1427253.78123517
2013-11-08,2117553.0498519912,1429894.9714214976
2013-11-15,2161628.6041131904,1454475.5793079266
2013-11-22,2172789.1843685443,1454279.553473785
2013-11-29,2187073.769184904,1452995.0684027
2013-12-06,2196555.006098258,1452706.1882260703
2013-12-13,2221569.6005759016,1430018.7772114817
2013-12-20,2252647.7417799523,1468212.86342158
2013-12-27,2283786.043783375,1486133.7515217804
2014-01-03,2289740.587630404,1478824.051338135
2014-01-10,2300651.1567304176,1491854.6107339629
2014-01-17,2331653.9196225274,1486422.63169841
2014-01-24,2292905.252473921,1445804.0154344558
2014-01-31,2296408.2408053777,1447279.3677650997
2014-02-07,2332537.284477544,1458819.0991065355
2014-02-14,2364224.602029816,1493737.4904566377
2014-02-21,2394480.7104900177,1503208.6333904222
2014-02-28,2399807.6869301028,1522429.4822854558
2014-03-07,2452656.954512504,1536677.465282794
2014-03-14,2428606.3590516774,1507154.9429461663
2014-03-21,2455556.6276407726,1526401.584714113
2014-03-28,2425852.948038508,1515821.348245054
2014-04-04,2451586.295304283,1528284.464436788
2014-04-11,2361168.179445703,1481810.866021502
2014-04-18,2426706.861798037,1522434.6408600388
2014-04-25,2432646.697597572,1519690.2791820576
2014-05-02,2455474.283150958,1533845.4078369075
2014-05-09,2477684.0187547626,1531462.1463797134
2014-05-16,2489189.6125829862,1530930.8131976982
2014-05-23,2529747.751678404,1546277.5725811452
2014-05-30,2565976.7418677486,1564575.0366258805
2014-06-06,2659585.8616201584,1590646.4725667012
2014-06-13,2630118.269510501,1579261.4984627455
2014-06-20,2680842.1357428115,1607561.4386232803
2014-06-27,2709873.1902675475,1605415.4715968892
2014-07-04,2729023.7542446344,1623269.2982275144
2014-07-11,2698528.250991623,1603996.8635866544
2014-07-18,2674161.326150525,1607272.5584466509
2014-07-25,2620352.268239275,1607380.888512887
2014-08-01,2550774.258466285,1565255.9684707932
2014-08-08,2547776.88701806,1573236.2833501857
2014-08-15,2610242.269285746,1590966.304190827
2014-08-22,2665882.9257120932,1619101.1699647165
2014-08-29,2677896.701203769,1632044.033592639
2014-09-05,2674438.2038367,1636872.4594020194
2014-09-12,2661919.140818374,1613431.896498361
2014-09-19,2640884.1172404056,1624703.3819614977
2014-09-26,2600914.7319497745,1598575.2017002674
2014-10-03,2578282.646367644,1584414.9144708347
